('641', 'INT', 'Crime Classication Code', 'VALID', 51)
('429', 'INT', 'Crime Classication Code', 'VALID', 51)
('890', 'INT', 'Crime Classication Code', 'VALID', 53)
('107', 'INT', 'Crime Classication Code', 'VALID', 54)
('663', 'INT', 'Crime Classication Code', 'VALID', 56)
('373', 'INT', 'Crime Classication Code', 'VALID', 61)
('595', 'INT', 'Crime Classication Code', 'VALID', 62)
('721', 'INT', 'Crime Classication Code', 'VALID', 64)
('605', 'INT', 'Crime Classication Code', 'VALID', 65)
('445', 'INT', 'Crime Classication Code', 'VALID', 65)
('327', 'INT', 'Crime Classication Code', 'VALID', 68)
('844', 'INT', 'Crime Classication Code', 'VALID', 73)
('591', 'INT', 'Crime Classication Code', 'VALID', 74)
('122', 'INT', 'Crime Classication Code', 'VALID', 79)
('754', 'INT', 'Crime Classication Code', 'VALID', 80)
('557', 'INT', 'Crime Classication Code', 'VALID', 83)
('537', 'INT', 'Crime Classication Code', 'VALID', 88)
('746', 'INT', 'Crime Classication Code', 'VALID', 90)
('706', 'INT', 'Crime Classication Code', 'VALID', 93)
('195', 'INT', 'Crime Classication Code', 'VALID', 95)
('687', 'INT', 'Crime Classication Code', 'VALID', 97)
('818', 'INT', 'Crime Classication Code', 'VALID', 101)
('766', 'INT', 'Crime Classication Code', 'VALID', 101)
('344', 'INT', 'Crime Classication Code', 'VALID', 103)
('576', 'INT', 'Crime Classication Code', 'VALID', 107)
('293', 'INT', 'Crime Classication Code', 'VALID', 109)
('817', 'INT', 'Crime Classication Code', 'VALID', 110)
('701', 'INT', 'Crime Classication Code', 'VALID', 114)
('829', 'INT', 'Crime Classication Code', 'VALID', 117)
('423', 'INT', 'Crime Classication Code', 'VALID', 123)
('841', 'INT', 'Crime Classication Code', 'VALID', 132)
('674', 'INT', 'Crime Classication Code', 'VALID', 134)
('688', 'INT', 'Crime Classication Code', 'VALID', 136)
('176', 'INT', 'Crime Classication Code', 'VALID', 137)
('645', 'INT', 'Crime Classication Code', 'VALID', 140)
('491', 'INT', 'Crime Classication Code', 'VALID', 141)
('874', 'INT', 'Crime Classication Code', 'VALID', 147)
('672', 'INT', 'Crime Classication Code', 'VALID', 147)
('331', 'INT', 'Crime Classication Code', 'VALID', 149)
('880', 'INT', 'Crime Classication Code', 'VALID', 151)
('323', 'INT', 'Crime Classication Code', 'VALID', 152)
('387', 'INT', 'Crime Classication Code', 'VALID', 153)
('719', 'INT', 'Crime Classication Code', 'VALID', 156)
('531', 'INT', 'Crime Classication Code', 'VALID', 161)
('563', 'INT', 'Crime Classication Code', 'VALID', 165)
('594', 'INT', 'Crime Classication Code', 'VALID', 170)
('899', 'INT', 'Crime Classication Code', 'VALID', 175)
('742', 'INT', 'Crime Classication Code', 'VALID', 175)
('261', 'INT', 'Crime Classication Code', 'VALID', 176)
('434', 'INT', 'Crime Classication Code', 'VALID', 179)
('187', 'INT', 'Crime Classication Code', 'VALID', 186)
('393', 'INT', 'Crime Classication Code', 'VALID', 193)
('633', 'INT', 'Crime Classication Code', 'VALID', 194)
('385', 'INT', 'Crime Classication Code', 'VALID', 194)
('849', 'INT', 'Crime Classication Code', 'VALID', 202)
('351', 'INT', 'Crime Classication Code', 'VALID', 202)
('711', 'INT', 'Crime Classication Code', 'VALID', 204)
('365', 'INT', 'Crime Classication Code', 'VALID', 206)
('862', 'INT', 'Crime Classication Code', 'VALID', 211)
('853', 'INT', 'Crime Classication Code', 'VALID', 212)
('610', 'INT', 'Crime Classication Code', 'VALID', 217)
('770', 'INT', 'Crime Classication Code', 'VALID', 218)
('431', 'INT', 'Crime Classication Code', 'VALID', 225)
('696', 'INT', 'Crime Classication Code', 'VALID', 230)
('104', 'INT', 'Crime Classication Code', 'VALID', 234)
('394', 'INT', 'Crime Classication Code', 'VALID', 238)
('166', 'INT', 'Crime Classication Code', 'VALID', 239)
('350', 'INT', 'Crime Classication Code', 'VALID', 240)
('812', 'INT', 'Crime Classication Code', 'VALID', 241)
('371', 'INT', 'Crime Classication Code', 'VALID', 244)
('789', 'INT', 'Crime Classication Code', 'VALID', 244)
('524', 'INT', 'Crime Classication Code', 'VALID', 252)
('498', 'INT', 'Crime Classication Code', 'VALID', 252)
('383', 'INT', 'Crime Classication Code', 'VALID', 253)
('762', 'INT', 'Crime Classication Code', 'VALID', 254)
('447', 'INT', 'Crime Classication Code', 'VALID', 260)
('174', 'INT', 'Crime Classication Code', 'VALID', 283)
('826', 'INT', 'Crime Classication Code', 'VALID', 288)
('799', 'INT', 'Crime Classication Code', 'VALID', 288)
