('03/27/2016', 'DATETIME', 'Report Date', 'VALID', 999)
('04/08/2007', 'DATETIME', 'Report Date', 'VALID', 1001)
('01/11/2009', 'DATETIME', 'Report Date', 'VALID', 1002)
('04/08/2012', 'DATETIME', 'Report Date', 'VALID', 1003)
('03/06/2011', 'DATETIME', 'Report Date', 'VALID', 1005)
('05/01/2016', 'DATETIME', 'Report Date', 'VALID', 1005)
('01/11/2015', 'DATETIME', 'Report Date', 'VALID', 1007)
('02/07/2010', 'DATETIME', 'Report Date', 'VALID', 1008)
('04/20/2014', 'DATETIME', 'Report Date', 'VALID', 1008)
('12/24/2016', 'DATETIME', 'Report Date', 'VALID', 1008)
('01/02/2015', 'DATETIME', 'Report Date', 'VALID', 1009)
('01/22/2012', 'DATETIME', 'Report Date', 'VALID', 1010)
('02/16/2014', 'DATETIME', 'Report Date', 'VALID', 1011)
('12/17/2016', 'DATETIME', 'Report Date', 'VALID', 1011)
('12/15/2013', 'DATETIME', 'Report Date', 'VALID', 1013)
('12/18/2011', 'DATETIME', 'Report Date', 'VALID', 1014)
('12/31/2010', 'DATETIME', 'Report Date', 'VALID', 1017)
('01/19/2009', 'DATETIME', 'Report Date', 'VALID', 1018)
('01/15/2006', 'DATETIME', 'Report Date', 'VALID', 1018)
('02/04/2007', 'DATETIME', 'Report Date', 'VALID', 1018)
('12/26/2011', 'DATETIME', 'Report Date', 'VALID', 1019)
('01/04/2014', 'DATETIME', 'Report Date', 'VALID', 1021)
('01/30/2011', 'DATETIME', 'Report Date', 'VALID', 1022)
('11/20/2016', 'DATETIME', 'Report Date', 'VALID', 1023)
('03/13/2010', 'DATETIME', 'Report Date', 'VALID', 1027)
('01/07/2015', 'DATETIME', 'Report Date', 'VALID', 1027)
('01/23/2011', 'DATETIME', 'Report Date', 'VALID', 1027)
('10/31/2012', 'DATETIME', 'Report Date', 'VALID', 1027)
('12/26/2016', 'DATETIME', 'Report Date', 'VALID', 1027)
('12/31/2016', 'DATETIME', 'Report Date', 'VALID', 1029)
('03/05/2015', 'DATETIME', 'Report Date', 'VALID', 1029)
('12/30/2012', 'DATETIME', 'Report Date', 'VALID', 1031)
('11/04/2012', 'DATETIME', 'Report Date', 'VALID', 1032)
('01/31/2010', 'DATETIME', 'Report Date', 'VALID', 1032)
('03/08/2015', 'DATETIME', 'Report Date', 'VALID', 1032)
('02/05/2012', 'DATETIME', 'Report Date', 'VALID', 1034)
('03/30/2014', 'DATETIME', 'Report Date', 'VALID', 1034)
('01/08/2015', 'DATETIME', 'Report Date', 'VALID', 1035)
('05/08/2011', 'DATETIME', 'Report Date', 'VALID', 1036)
('01/25/2009', 'DATETIME', 'Report Date', 'VALID', 1038)
('12/31/2008', 'DATETIME', 'Report Date', 'VALID', 1038)
('01/01/2015', 'DATETIME', 'Report Date', 'VALID', 1040)
('02/08/2013', 'DATETIME', 'Report Date', 'VALID', 1041)
('01/12/2011', 'DATETIME', 'Report Date', 'VALID', 1044)
('02/26/2006', 'DATETIME', 'Report Date', 'VALID', 1045)
('12/16/2007', 'DATETIME', 'Report Date', 'VALID', 1046)
('12/24/2015', 'DATETIME', 'Report Date', 'VALID', 1046)
('02/28/2016', 'DATETIME', 'Report Date', 'VALID', 1047)
('01/09/2011', 'DATETIME', 'Report Date', 'VALID', 1048)
('11/08/2012', 'DATETIME', 'Report Date', 'VALID', 1048)
('02/20/2011', 'DATETIME', 'Report Date', 'VALID', 1049)
('02/12/2012', 'DATETIME', 'Report Date', 'VALID', 1049)
('04/04/2010', 'DATETIME', 'Report Date', 'VALID', 1050)
('04/24/2011', 'DATETIME', 'Report Date', 'VALID', 1050)
('02/13/2016', 'DATETIME', 'Report Date', 'VALID', 1050)
('01/18/2009', 'DATETIME', 'Report Date', 'VALID', 1051)
('02/08/2015', 'DATETIME', 'Report Date', 'VALID', 1053)
('12/11/2011', 'DATETIME', 'Report Date', 'VALID', 1055)
('02/14/2014', 'DATETIME', 'Report Date', 'VALID', 1057)
('11/24/2013', 'DATETIME', 'Report Date', 'VALID', 1058)
('01/24/2015', 'DATETIME', 'Report Date', 'VALID', 1059)
('01/06/2015', 'DATETIME', 'Report Date', 'VALID', 1059)
('12/26/2012', 'DATETIME', 'Report Date', 'VALID', 1060)
('02/17/2014', 'DATETIME', 'Report Date', 'VALID', 1060)
('12/05/2010', 'DATETIME', 'Report Date', 'VALID', 1061)
('12/21/2008', 'DATETIME', 'Report Date', 'VALID', 1062)
('01/31/2015', 'DATETIME', 'Report Date', 'VALID', 1062)
