,MANHATTAN,2
,BRONX,1
,,387
1,MANHATTAN,67833
10,MANHATTAN,47387
100,QUEENS,28782
100,,1
101,QUEENS,45794
102,QUEENS,71017
103,QUEENS,87813
104,QUEENS,81151
104,MANHATTAN,1
104,BROOKLYN,1
105,QUEENS,81255
106,QUEENS,67367
106,BROOKLYN,1
107,QUEENS,58302
108,QUEENS,58628
109,QUEENS,88289
110,QUEENS,75155
111,QUEENS,36055
112,QUEENS,40050
113,QUEENS,95870
114,QUEENS,100798
114,BRONX,2
115,QUEENS,89295
120,STATEN ISLAND,117491
121,STATEN ISLAND,23804
121,BROOKLYN,1
121,,74
122,STATEN ISLAND,87696
123,STATEN ISLAND,36650
13,MANHATTAN,81145
13,BROOKLYN,1
14,MANHATTAN,129697
14,BROOKLYN,1
17,MANHATTAN,35948
18,MANHATTAN,87367
19,MANHATTAN,72282
20,MANHATTAN,44809
22,MANHATTAN,4745
23,MANHATTAN,73154
23,BRONX,3
24,MANHATTAN,55262
25,MANHATTAN,74073
25,BRONX,1
26,MANHATTAN,37213
26,BROOKLYN,1
28,MANHATTAN,58726
30,MANHATTAN,54067
32,MANHATTAN,77347
33,MANHATTAN,49354
34,MANHATTAN,59372
34,,1
40,BRONX,131263
41,BRONX,77482
42,BRONX,86638
43,BRONX,149574
44,BRONX,139345
45,BRONX,70584
46,BRONX,120766
47,BRONX,100858
48,BRONX,89856
49,BRONX,75096
5,MANHATTAN,49336
50,BRONX,51093
52,BRONX,117083
6,MANHATTAN,59559
6,BRONX,1
60,BROOKLYN,70868
61,BROOKLYN,69943
62,BROOKLYN,67356
63,BROOKLYN,59385
66,BROOKLYN,54037
67,BROOKLYN,104817
68,BROOKLYN,56429
69,BROOKLYN,54781
7,MANHATTAN,45259
7,BROOKLYN,1
70,BROOKLYN,88968
71,BROOKLYN,78909
71,BRONX,1
72,BROOKLYN,60112
73,BROOKLYN,116370
75,BROOKLYN,180540
76,BROOKLYN,31553
77,BROOKLYN,83026
78,BROOKLYN,38860
79,BROOKLYN,88564
81,BROOKLYN,70473
83,BROOKLYN,75546
84,BROOKLYN,56813
88,BROOKLYN,50089
9,MANHATTAN,67822
9,BROOKLYN,1
90,BROOKLYN,72205
94,BROOKLYN,37251
