387, 3, 16
417, 7, 486
112, 3, 41
718, 11, 789
640, 5, 211
476, 10, 2
243, 12, 192
424, 1, 319
818, 6, 5
399, 8, 708
231, 9, 399
195, 6, 4
662, 9, 1
779, 2, 207
457, 3, 1076
397, 10, 6452
899, 5, 10
233, 3, 186
789, 1, 1
350, 3, 12
907, 9, 46
905, 11, 4866
489, 4, 111
502, 10, 99
553, 12, 4
723, 9, 201
510, 5, 205
646, 11, 1
749, 5, 1885
435, 7, 74
105, 11, 906
744, 10, 113
508, 12, 67
423, 8, 10
180, 8, 10
365, 7, 21
198, 1, 3366
788, 10, 1
415, 5, 856
398, 7, 355
799, 4, 17
584, 8, 2
412, 4, 576
696, 2, 8
782, 12, 3253
868, 5, 1
683, 12, 38
271, 5, 62
792, 9, 578
645, 2, 8
512, 7, 145
841, 12, 6
659, 11, 20
595, 10, 4
113, 4, 4137
293, 9, 6
764, 12, 25
848, 3, 55
759, 8, 1666
594, 9, 11
788, 2, 3
214, 8, 383
602, 11, 2
625, 12, 40
211, 11, 920
695, 3, 24
386, 12, 1968
647, 4, 31
803, 6, 6
341, 9, 29
544, 12, 47
360, 4, 21
468, 9, 1
515, 10, 295
746, 4, 2
363, 9, 22
501, 11, 183
410, 2, 207
231, 1, 359
462, 11, 883
350, 11, 16
433, 1, 1015
840, 11, 1
313, 6, 428
426, 11, 53
786, 8, 1
799, 12, 22
179, 12, 174
610, 8, 29
439, 3, 1370
425, 10, 392
858, 2, 12
393, 6, 6
721, 11, 2
731, 6, 41
770, 9, 11
193, 4, 41
396, 9, 61
576, 1, 9
426, 3, 40
904, 4, 6
106, 2, 916
110, 1, 46
375, 10, 59
455, 1, 88
420, 5, 191
491, 1, 11
781, 1, 14
101, 7, 29905
843, 2, 2
711, 4, 8
301, 5, 568
708, 10, 133
168, 10, 202
500, 12, 449
347, 7, 73
652, 10, 41
442, 5, 102
419, 1, 2320
451, 5, 803
772, 11, 31
889, 8, 3
357, 6, 2594
529, 9, 4
266, 9, 38
264, 11, 161
333, 12, 14686
503, 9, 1088
638, 6, 22921
413, 11, 149
574, 11, 1
531, 12, 4
119, 10, 1
644, 1, 46
185, 3, 19
588, 12, 1
277, 3, 74
637, 11, 12598
191, 2, 41
827, 8, 1
703, 11, 22
681, 10, 832
491, 9, 10
566, 12, 271
530, 11, 2
565, 9, 28
701, 1, 9
718, 3, 944
918, 1, 36
781, 9, 17
490, 10, 1213
698, 8, 5
125, 9, 2
663, 10, 3
754, 11, 5
327, 1, 3
641, 6, 6
289, 6, 1
878, 4, 569
363, 1, 28
109, 7, 11369
853, 11, 5
342, 4, 2
443, 6, 354
380, 6, 100
808, 7, 15
241, 10, 118
880, 7, 11
114, 5, 967
466, 7, 171
223, 2, 2510
305, 9, 318
918, 9, 49
203, 8, 531
762, 6, 20
392, 5, 102
662, 1, 3
780, 10, 4
181, 7, 114
395, 4, 30
701, 9, 3
199, 2, 78
707, 7, 896
283, 8, 2
820, 9, 1
719, 4, 6
406, 5, 330
269, 8, 2296
385, 9, 12
605, 6, 1
627, 2, 2
489, 12, 98
817, 3, 6
669, 4, 1
342, 12, 2
205, 10, 3262
432, 2, 49
402, 1, 188
338, 9, 14768
307, 3, 289
267, 10, 2899
744, 2, 103
422, 7, 316
117, 8, 1353
408, 3, 98
727, 5, 30
407, 6, 518
199, 10, 82
665, 8, 36
351, 4, 14
112, 11, 34
285, 10, 3
224, 7, 1449
688, 9, 5
164, 6, 26
464, 5, 30
187, 1, 15
339, 10, 5225
441, 8, 7977
256, 10, 292
907, 1, 57
514, 1, 42
792, 1, 539
382, 8, 548
754, 3, 1
361, 11, 202
761, 7, 45
811, 5, 3
193, 12, 30
418, 2, 167
739, 6, 2413
520, 10, 30
113, 12, 3934
209, 6, 158
213, 9, 1991
204, 9, 129
104, 12, 13
723, 1, 236
349, 1, 1850
105, 3, 875
872, 10, 4
305, 1, 318
403, 10, 945
418, 10, 275
429, 6, 1
387, 11, 15
175, 8, 1849
841, 4, 10
177, 6, 138
438, 12, 8363
335, 6, 175
170, 11, 174
563, 7, 5
892, 8, 8
532, 9, 3
479, 7, 26
424, 9, 407
576, 9, 8
916, 7, 2467
221, 4, 5616
323, 5, 10
475, 11, 141
461, 2, 260
585, 7, 3
845, 8, 1
355, 8, 1
329, 7, 17
530, 3, 3
371, 6, 13
659, 3, 26
789, 9, 6
764, 4, 26
373, 8, 6
633, 7, 13
553, 4, 2
594, 1, 7
853, 3, 6
724, 8, 49
521, 9, 326
268, 7, 203
122, 8, 1
331, 2, 3
379, 6, 58
291, 11, 1
661, 4, 535
695, 11, 21
377, 12, 193
263, 6, 281
476, 2, 1
183, 5, 83
341, 1, 30
111, 10, 48
405, 8, 2524
746, 12, 2
447, 2, 14
515, 2, 243
433, 9, 924
221, 12, 7161
430, 4, 114
401, 4, 465
397, 2, 4231
643, 8, 75
254, 12, 13586
155, 10, 90
439, 11, 1593
595, 2, 1
384, 10, 601
258, 8, 4848
143, 1, 1
524, 6, 15
567, 11, 7849
507, 5, 74
568, 6, 155
155, 2, 83
779, 10, 222
500, 4, 643
905, 3, 5602
493, 11, 101
256, 2, 263
760, 8, 808
703, 3, 19
498, 10, 14
705, 5, 942
708, 2, 126
468, 1, 1
829, 10, 2
411, 1, 317
409, 12, 181
437, 5, 137
533, 2, 3
174, 7, 6
267, 2, 1991
462, 3, 845
674, 6, 18
244, 5, 114
596, 3, 35
388, 6, 901
186, 10, 4
696, 10, 15
848, 11, 55
273, 7, 181
187, 9, 5
277, 11, 60
687, 8, 4
457, 11, 1179
153, 8, 125
191, 10, 51
637, 3, 12476
697, 1, 1
793, 2, 2233
519, 6, 25
566, 4, 353
619, 7, 4
502, 2, 83
729, 3, 3038
750, 7, 1806
730, 5, 61
602, 3, 5
125, 1, 2
168, 2, 180
508, 4, 126
331, 10, 11
652, 2, 28
419, 9, 3028
878, 12, 573
386, 4, 1207
115, 6, 696
969, 1, 1
742, 8, 18
401, 12, 459
