232, 12, 1261
106, 10, 11774
112, 3, 3108
238, 2, 151
233, 3, 2691
360, 12, 594
343, 3, 881
116, 7, 794
107, 1, 15103
235, 5, 15481
675, 5, 73
352, 1, 4775
120, 6, 42
234, 6, 8
359, 12, 5124
351, 12, 27305
348, 2, 2998
104, 4, 832
345, 5, 74
124, 10, 158
109, 7, 31702
237, 7, 9
348, 10, 3536
361, 3, 17444
119, 2, 6
685, 6, 2
125, 1, 267
105, 11, 12865
349, 9, 4
354, 7, 6
365, 7, 671
232, 4, 1254
571, 8, 29
358, 11, 834
350, 3, 84
110, 1, 7746
353, 10, 964
230, 10, 27
346, 8, 38
114, 5, 478
356, 5, 76
343, 11, 846
117, 8, 3445
341, 9, 59465
113, 4, 3268
359, 4, 6218
455, 1, 3
111, 10, 623
106, 2, 8872
231, 9, 201
363, 9, 20
572, 5, 69
115, 6, 12
340, 2, 1716
363, 1, 21
578, 7, 37124
102, 6, 3
349, 1, 1
344, 6, 34661
351, 4, 30186
112, 11, 2515
236, 8, 4205
460, 9, 1
676, 8, 3
350, 11, 78
360, 4, 883
233, 11, 2500
107, 9, 16022
231, 1, 154
238, 10, 167
342, 4, 69
361, 11, 15431
347, 7, 4501
110, 9, 9140
111, 2, 481
118, 9, 2957
113, 12, 2792
355, 8, 896
121, 5, 5530
672, 4, 1
104, 12, 782
342, 12, 40
126, 4, 7304
678, 2, 481
105, 3, 10471
677, 7, 23
103, 5, 1
340, 10, 1716
230, 2, 18
341, 1, 51793
358, 3, 1018
118, 1, 3064
678, 10, 486
353, 2, 823
122, 8, 6
672, 12, 1
357, 6, 1
125, 9, 217
366, 6, 4
352, 9, 3139
124, 2, 123
126, 12, 6320
455, 9, 2
364, 8, 335
363, 6, 69
116, 8, 742
232, 3, 1262
356, 2, 30
125, 6, 214
235, 2, 14232
112, 12, 2668
685, 9, 1
351, 3, 29565
114, 2, 448
360, 3, 853
104, 11, 848
109, 8, 32508
350, 4, 115
120, 9, 21
359, 11, 5444
234, 1, 9
111, 5, 558
344, 9, 32533
354, 8, 7
675, 10, 89
102, 1, 4
676, 7, 3
235, 10, 15716
121, 2, 4286
359, 3, 6255
342, 11, 60
126, 3, 7169
366, 9, 3
119, 5, 6
678, 5, 538
346, 7, 54
685, 1, 1
365, 8, 748
350, 12, 58
236, 7, 3987
230, 5, 30
115, 1, 10
358, 4, 965
344, 1, 28923
353, 5, 950
102, 9, 6
123, 8, 1
672, 11, 1
114, 10, 482
672, 3, 2
357, 1, 1
237, 8, 19
460, 6, 2
366, 1, 3
118, 6, 2865
572, 10, 56
345, 10, 89
103, 2, 1
117, 7, 3131
356, 10, 67
121, 10, 5584
112, 4, 2804
349, 6, 4
360, 11, 590
113, 11, 3049
124, 5, 168
107, 6, 14991
233, 12, 2252
571, 7, 18
120, 1, 20
105, 4, 10254
341, 6, 59067
348, 5, 3509
106, 5, 12737
104, 3, 867
355, 7, 1167
351, 11, 27761
364, 7, 307
342, 3, 55
361, 4, 17009
675, 2, 55
105, 12, 13411
357, 9, 1
115, 9, 4
358, 12, 841
126, 11, 6660
110, 6, 8161
347, 8, 4841
578, 8, 36246
677, 8, 15
122, 7, 5
233, 4, 2548
343, 12, 869
113, 3, 3637
343, 4, 871
232, 11, 1155
455, 6, 2
340, 5, 1640
238, 5, 165
231, 6, 158
361, 12, 14955
234, 9, 8
572, 2, 54
345, 2, 91
352, 6, 3268
343, 5, 827
231, 7, 189
358, 5, 955
347, 9, 4469
347, 1, 4806
340, 4, 1854
114, 11, 475
102, 8, 1
345, 3, 112
113, 10, 3237
118, 7, 2990
672, 2, 1
578, 9, 36442
124, 12, 115
106, 4, 10952
106, 12, 10750
112, 5, 2702
103, 3, 4
364, 6, 331
121, 11, 5182
455, 7, 1
577, 4, 1
360, 10, 870
115, 8, 10
356, 3, 47
107, 7, 16386
359, 2, 5131
675, 3, 79
685, 8, 1
350, 5, 149
351, 10, 30930
672, 10, 3
353, 4, 873
104, 2, 741
355, 6, 845
109, 1, 27397
342, 2, 37
361, 5, 16991
363, 7, 238
113, 2, 3173
238, 4, 164
354, 1, 2
359, 10, 6132
116, 1, 787
365, 1, 617
232, 2, 1102
234, 8, 9
121, 3, 5395
237, 1, 3
352, 7, 3056
126, 10, 7292
348, 12, 3310
340, 12, 1501
353, 12, 874
571, 6, 13
677, 9, 20
103, 11, 3
230, 12, 18
366, 8, 3
238, 12, 161
572, 11, 53
341, 7, 62631
123, 1, 1
125, 7, 233
346, 6, 57
232, 10, 1218
356, 11, 35
122, 6, 9
572, 3, 45
349, 7, 4
348, 4, 3194
114, 3, 533
235, 3, 15624
116, 9, 720
578, 1, 31043
676, 6, 1
675, 11, 68
233, 5, 2853
109, 9, 31183
230, 4, 15
105, 5, 11923
360, 2, 665
104, 10, 945
357, 8, 2
678, 12, 409
124, 4, 156
236, 6, 4018
120, 8, 32
677, 1, 17
111, 4, 557
342, 10, 76
354, 9, 6
345, 11, 75
111, 12, 453
344, 8, 34698
110, 7, 8949
237, 9, 13
351, 2, 24459
235, 11, 13321
126, 2, 6065
678, 4, 499
117, 6, 3119
119, 4, 6
365, 9, 665
114, 8, 441
350, 6, 171
572, 8, 47
366, 3, 2
115, 11, 4
118, 4, 2996
351, 1, 29608
455, 12, 6
117, 5, 3373
342, 9, 72
231, 12, 146
112, 6, 2550
672, 9, 1
360, 9, 868
571, 5, 12
363, 12, 25
124, 7, 150
107, 4, 13241
110, 12, 7872
344, 11, 29937
120, 3, 24
113, 9, 2813
351, 9, 29295
238, 7, 171
125, 12, 179
233, 6, 2876
355, 5, 843
105, 6, 11792
364, 5, 309
237, 2, 6
352, 12, 3484
234, 3, 5
359, 1, 5253
236, 5, 4228
354, 2, 4
365, 2, 592
346, 5, 44
121, 8, 5835
126, 9, 7551
341, 4, 53052
347, 10, 5087
348, 7, 3298
125, 4, 228
677, 10, 20
122, 5, 3
110, 4, 7488
235, 8, 15928
685, 11, 3
234, 11, 5
113, 1, 3179
232, 9, 1144
102, 11, 4
455, 4, 3
104, 1, 1039
123, 2, 1
231, 4, 159
230, 7, 18
349, 12, 1
340, 7, 1753
352, 4, 3981
578, 10, 36001
116, 10, 586
232, 1, 1252
344, 3, 32034
685, 3, 1
341, 12, 55409
363, 4, 23
360, 1, 773
104, 9, 899
109, 2, 23529
107, 12, 16576
109, 10, 32788
102, 3, 1
349, 4, 8
120, 11, 21
359, 9, 6052
578, 2, 27961
111, 7, 625
119, 7, 1
354, 10, 9
342, 1, 58
881, 5, 1
676, 5, 1
115, 3, 9
353, 7, 1106
237, 10, 8
126, 1, 6756
675, 8, 92
678, 7, 626
356, 8, 40
577, 7, 1
118, 12, 2411
361, 6, 16489
365, 10, 696
343, 6, 855
366, 11, 1
358, 6, 889
672, 1, 1
460, 4, 1
116, 2, 549
677, 2, 15
347, 2, 4968
106, 7, 13574
345, 8, 74
361, 7, 16651
344, 2, 26847
354, 3, 3
571, 4, 14
365, 3, 554
345, 9, 75
121, 9, 5387
126, 8, 7729
234, 10, 7
116, 3, 593
346, 12, 41
341, 5, 58837
122, 4, 6
115, 2, 10
675, 9, 82
366, 10, 3
114, 9, 454
455, 5, 4
103, 9, 2
571, 12, 8
231, 5, 167
342, 8, 99
572, 1, 49
352, 5, 3757
363, 5, 28
356, 9, 45
235, 1, 14698
117, 12, 2721
685, 10, 4
356, 1, 24
236, 12, 3255
366, 2, 3
881, 4, 1
104, 8, 1000
676, 12, 3
109, 11, 30810
105, 7, 13050
120, 10, 23
359, 8, 6280
102, 10, 5
102, 2, 7
125, 5, 226
235, 9, 15528
117, 4, 3463
354, 11, 5
236, 4, 4279
355, 12, 579
121, 1, 5015
346, 4, 44
237, 11, 12
349, 5, 2
881, 12, 1
678, 6, 484
